"Government deficit and debt in the EU-countries by function, unit,"
"country and time"

" "," "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Government EMU-debt"
" ","Mill. Euro (current prices)"
" "," ","Belgium",280959.5,286055.5,288110.8,285866.7,288418.8,294975.3,297494.9,300063.7,327683.2,347223.7,364132.1,389106.6,404752.3,414432.4,431384.3,438504.8,451619.9,454048.4,459388.5,467249.4,515211.9,548456.4,578063.2
" "," ","Bulgaria",10177.1,10269.8,8890.3,8126.5,7526.2,6388.6,5721.0,5296.9,4848.6,5112.5,5857.0,6285.0,7005.7,7147.6,11619.3,11871.6,14188.1,13182.6,12427.2,12311.1,15131.7,17013.2,19352.9
" "," ","Cyprus",6024.5,6660.9,7339.8,8184.8,9055.9,9595.9,9597.7,9461.9,8658.6,10139.0,10953.7,13057.9,15618.5,18706.5,19013.8,19296.8,19631.5,18935.6,21343.9,21565.9,25388.1,24744.7,23767.3
" "," ","Denmark",93084.0,89464.7,93174.5,89061.4,89394.7,79532.5,71183.3,63755.0,80547.5,92986.6,103472.9,114452.4,114025.7,113943.4,117801.4,108532.4,105450.1,105727.0,102597.3,104187.6,131859.7,123539.1,113586.0
" "," ","Estonia",315.6,333.4,442.9,489.7,499.9,533.1,628.1,617.5,749.4,1023.1,981.9,1027.4,1762.5,1934.2,2129.9,2077.4,2174.1,2174.0,2127.4,2373.4,5094.4,5533.5,6657.4
" "," ","Finland",61564.0,62825.0,63299.0,68508.0,71335.0,69397.0,69532.0,67340.0,67435.0,80200.0,94286.0,102829.0,115931.0,123726.0,133359.1,144443.0,147963.0,149457.0,151384.0,155613.0,177906.0,181944.0,196878.0
" "," ","France",870626.0,897446.0,956794.0,1050356.0,1123615.0,1189919.0,1194106.0,1252867.0,1370326.0,1607983.0,1701122.0,1807957.0,1892540.0,1977734.0,2039884.0,2101255.0,2188481.0,2254331.0,2310877.0,2374942.0,2657352.0,2823692.0,2949331.0
" "," ","Greece",148217.0,162971.0,171410.0,181510.0,199282.0,213976.0,225730.0,239915.0,264775.0,301062.0,330570.0,356235.0,305085.0,320498.0,319629.0,311729.0,315012.0,317481.0,334721.0,331144.0,341588.0,353848.0,356597.0
" "," ","Ireland",39494.0,40969.2,41987.4,43409.3,43888.9,44371.3,43723.8,47183.1,79621.0,104685.4,144229.6,189726.7,210026.1,215241.6,203381.6,201673.9,200635.0,201262.0,205847.5,203382.8,217884.8,236127.2,224760.6
" "," ","Italy",1353569.3,1420026.6,1436141.8,1471325.7,1526400.5,1591580.6,1657334.2,1677649.8,1738647.0,1839232.6,1920625.3,1973467.5,2054753.0,2136229.5,2202999.1,2239409.8,2285705.0,2329931.7,2381640.4,2410322.8,2573538.9,2679901.4,2757547.4
" "," ","Croatia",8441.0,9661.3,10397.5,11622.3,13210.7,15124.7,15534.8,16488.4,18559.3,22096.9,25790.4,28518.7,30747.0,35386.3,36741.7,37534.5,37575.8,38365.9,38664.6,39415.7,43780.8,45743.6,46334.0
" "," ","Latvia",1011.0,1304.4,1251.5,1410.2,1628.6,1638.8,1736.5,1935.1,4511.3,6957.0,8537.7,8948.5,9364.1,9172.0,9817.9,9089.1,10224.1,10492.6,10784.0,11209.1,12710.6,14688.4,15948.2
" "," ","Lithuania",2912.1,3185.2,3365.7,3395.1,3404.5,3701.9,4151.9,4609.7,4762.1,7528.5,10150.9,11629.3,13264.1,13550.8,14827.6,15880.8,15446.7,16540.3,15321.7,17526.1,23062.5,24535.5,25672.4
" "," ","Luxembourg",1722.6,1820.4,1862.8,1949.9,2207.2,2407.4,2804.1,3045.9,5852.4,5969.0,8094.5,8201.2,9700.3,10997.5,11316.6,11432.2,11010.3,12675.5,12567.6,13960.9,15875.8,17731.2,19175.3
" "," ","Malta",2654.0,2989.2,2927.3,3267.4,3449.6,3606.4,3472.9,3584.6,3837.0,4152.7,4462.5,4848.3,4907.4,5278.4,5433.3,5623.1,5769.7,5705.4,5662.1,5720.3,6974.7,8263.9,9000.5
" "," ","Netherlands",235879.0,238681.0,244916.0,256483.0,266332.0,274277.0,264157.0,266221.0,354036.0,354763.0,378762.0,401303.0,432462.0,447082.0,455886.0,446144.0,438532.0,420440.0,405899.0,394825.0,435475.0,449659.0,480548.0
" "," ","Poland",70735.4,83306.4,84224.1,83894.0,103059.1,119592.0,131958.8,147052.7,144651.7,166538.0,194894.8,192144.5,216868.9,224119.6,204509.3,216566.3,229014.4,241130.0,240804.6,245729.6,293124.1,306839.2,323054.6
" "," ","Portugal",69591.8,77908.0,85594.9,93333.4,102157.9,114552.9,122499.7,127625.5,135477.9,154014.0,179996.0,201459.4,217160.3,224077.6,230058.8,235746.1,245244.8,247174.5,249260.5,249977.5,270494.9,269089.0,272435.3
" "," ","Romania",7532.8,10917.2,10757.1,10309.5,11768.7,12397.6,12585.6,14099.4,16555.6,27295.7,36728.8,43937.9,49445.7,53429.3,58489.2,59494.1,62788.8,64555.9,70848.4,78095.7,102630.3,116641.9,134469.0
" "," ","Slovakia",10953.5,12369.5,12274.1,13125.0,14977.1,13945.3,15496.2,17194.1,19616.1,23305.7,27928.8,30979.9,38098.1,40742.0,40844.0,41413.4,42481.3,43572.4,44405.3,45305.6,54992.9,61237.8,63378.0
" "," ","Slovenia",5483.6,6035.5,6707.8,6943.8,7427.5,7690.1,8201.5,8013.6,8262.5,12517.5,13916.2,17216.6,19417.7,25520.1,30219.9,32087.4,31756.0,31893.0,32246.3,31752.4,37424.3,38878.5,41241.6
" "," ","Spain",374557.0,378883.0,384145.0,382775.0,389888.0,393479.0,392132.0,384662.0,440621.0,569535.0,649153.0,743043.0,927813.0,1025655.0,1084846.0,1113661.0,1145050.0,1183412.0,1208861.0,1223355.0,1345786.0,1428133.0,1502804.0
" "," ","Sweden",137290.4,139698.4,141390.6,146709.7,152019.2,152005.1,150536.4,136790.5,117708.1,132747.7,151873.4,155456.0,163584.7,173692.4,191307.6,202759.8,195264.7,194607.1,186321.6,171978.5,200526.7,195204.5,176776.5
" "," ","Czech Republic",11567.8,18322.2,22013.9,24530.7,28673.0,31385.6,35405.0,39606.2,42298.6,49824.4,59059.8,62576.1,71778.7,67096.2,65581.0,67943.9,64939.8,68520.7,67431.3,68492.7,81922.9,103255.7,124299.8
" "," ","Germany",1251530.5,1264266.9,1317679.6,1405194.6,1475183.2,1545669.5,1595311.5,1603669.1,1672576.3,1789213.3,2102672.3,2139149.2,2216704.5,2201917.7,2203742.6,2177230.8,2161570.5,2130325.0,2083675.3,2069889.2,2340848.9,2495538.2,2561675.4
" "," ","Hungary",28008.4,32818.1,41007.4,42348.3,50505.1,54075.6,62298.8,66503.3,73317.3,76528.1,79114.5,72881.6,77530.7,78882.3,79575.8,83833.8,87470.1,91265.8,93372.4,94233.4,105468.0,114630.7,121820.6
" "," ","Austria",141245.5,147154.2,151295.9,152688.1,157985.4,174403.5,180270.0,184674.5,201809.9,230014.6,244696.8,255683.8,261040.8,263229.5,280001.0,292264.6,296244.5,289951.3,285421.8,280540.4,315980.9,334284.0,350698.4
" "," ","Euro area-20",4866751.7,5021546.2,5187943.7,5441837.9,5700347.7,5964844.6,6103914.7,6216821.5,6727816.8,7470838.5,8199989.0,8615153.8,8987822.2,9280195.7,9515049.9,9645583.8,9822445.6,9928487.5,10030129.3,10122325.9,11190510.7,11817241.6,12263034.0
" ","In % of GDP"
" "," ","Belgium",109.6,108.2,105.4,101.7,97.2,95.1,91.5,87.3,93.2,100.2,100.3,103.5,104.8,105.5,107.0,105.2,105.0,102.0,99.9,97.6,111.8,108.0,104.3
" "," ","Bulgaria",70.7,64.5,51.0,43.4,35.7,26.6,20.9,16.3,13.0,13.7,15.3,15.2,16.6,17.0,27.0,25.9,29.1,25.1,22.1,20.0,24.6,23.9,22.6
" "," ","Cyprus",55.7,57.3,60.5,63.8,64.8,63.4,59.3,54.0,45.5,54.3,56.3,65.8,80.1,103.7,108.8,107.5,103.2,93.2,98.5,93.0,114.9,99.3,85.6
" "," ","Denmark",52.4,48.5,49.1,46.2,44.2,37.4,31.5,27.3,33.3,40.2,42.6,46.1,44.9,44.0,44.3,39.8,37.2,35.9,34.0,33.7,42.3,36.0,29.8
" "," ","Estonia",5.1,4.8,5.7,5.6,5.1,4.7,4.6,3.8,4.5,7.2,6.7,6.2,9.8,10.2,10.6,10.1,10.0,9.1,8.2,8.5,18.6,17.8,18.5
" "," ","Finland",45.1,43.4,42.6,45.1,44.9,42.1,40.2,36.0,34.7,44.1,50.1,51.9,57.7,60.6,64.5,68.3,68.0,66.0,64.8,64.9,74.7,72.5,73.3
" "," ","France",58.9,58.3,60.3,64.4,65.9,67.4,64.6,64.5,68.8,83.0,85.3,87.8,90.6,93.4,94.9,95.6,98.0,98.1,97.8,97.4,114.6,112.9,111.8
" "," ","Greece",104.9,107.1,104.9,101.5,102.9,107.4,103.6,103.1,109.4,126.7,147.5,175.2,162.0,178.2,180.3,176.7,180.5,179.5,186.4,180.6,207.0,195.0,172.6
" "," ","Ireland",36.4,33.6,30.9,29.8,28.1,26.1,23.6,23.9,42.5,61.8,86.2,110.4,119.9,120.1,104.0,76.5,74.4,67.4,62.9,57.1,58.1,54.4,44.4
" "," ","Italy",109.0,108.9,106.4,105.5,105.1,106.6,106.7,103.9,106.2,116.6,119.2,119.7,126.5,132.5,135.4,135.3,134.8,134.2,134.5,134.2,154.9,147.1,141.7
" "," ","Croatia",35.4,36.6,36.5,37.8,39.9,40.9,38.4,37.1,38.9,48.1,57.0,63.3,69.1,80.0,83.6,83.0,79.5,76.3,73.1,70.9,86.8,78.1,68.2
" "," ","Latvia",12.1,13.8,13.0,14.1,14.6,11.9,10.0,8.4,18.5,37.0,47.6,45.1,42.4,40.3,41.6,37.0,40.3,38.9,37.0,36.7,42.2,44.0,41.0
" "," ","Lithuania",23.5,22.9,22.2,20.4,18.7,17.6,17.3,15.9,14.6,28.0,36.2,37.1,39.7,38.7,40.5,42.5,39.7,39.1,33.7,35.8,46.2,43.4,38.1
" "," ","Luxembourg",7.5,7.6,7.4,7.4,7.8,8.0,8.2,8.1,14.6,15.3,19.1,18.5,20.8,22.4,21.9,21.1,19.6,21.8,20.9,22.4,24.6,24.5,24.7
" "," ","Malta",60.7,64.9,63.1,68.6,71.3,69.9,64.3,61.9,61.8,66.3,65.5,70.0,66.6,66.4,62.1,56.2,54.7,47.8,43.4,40.0,52.2,54.0,52.3
" "," ","Netherlands",52.2,49.5,48.9,50.0,50.3,49.8,45.2,43.0,54.7,56.8,59.3,61.7,66.2,67.7,67.9,64.7,61.9,57.0,52.4,48.6,54.7,51.7,50.1
" "," ","Poland",36.4,37.3,41.7,46.6,45.1,46.6,47.3,44.5,46.7,49.8,54.0,55.1,54.8,57.1,51.4,51.3,54.5,50.8,48.7,45.7,57.2,53.6,49.3
" "," ","Portugal",54.2,57.4,60.0,63.9,67.1,72.2,73.7,72.7,75.6,87.8,100.2,114.4,129.0,131.4,132.9,131.2,131.5,126.1,121.5,116.6,134.9,124.5,112.4
" "," ","Romania",22.5,25.9,24.8,22.1,18.9,15.9,12.4,11.9,12.3,21.8,29.0,32.3,35.4,37.8,39.2,37.8,37.9,35.3,34.5,35.1,46.8,48.5,47.2
" "," ","Slovakia",50.5,51.1,45.3,43.2,41.7,34.7,31.4,30.3,28.6,36.4,40.6,43.2,51.7,54.7,53.5,51.7,52.3,51.5,49.4,48.0,58.9,61.1,57.8
" "," ","Slovenia",25.9,26.1,27.4,26.8,26.9,26.4,26.1,22.8,21.8,34.5,38.3,46.5,53.6,70.0,80.3,82.6,78.5,74.2,70.3,65.4,79.6,74.4,72.3
" "," ","Spain",57.8,54.0,51.2,47.7,45.4,42.4,39.1,35.8,39.7,53.3,60.5,69.9,90.0,100.5,105.1,103.3,102.7,101.8,100.4,98.2,120.3,116.8,111.6
" "," ","Sweden",50.3,51.9,49.8,49.3,48.5,48.7,43.6,38.9,37.5,40.7,38.1,37.2,37.5,40.3,45.0,43.7,42.2,41.4,39.6,35.6,39.9,36.5,32.9
" "," ","Czech Republic",17.0,22.7,25.8,28.2,28.4,27.7,27.6,27.3,28.1,33.4,37.1,39.7,44.2,44.4,41.9,39.7,36.6,34.2,32.1,30.0,37.7,42.0,44.2
" "," ","Germany",59.3,58.2,59.9,63.5,65.2,67.5,66.9,64.2,65.7,73.2,82.0,79.4,80.7,78.3,75.3,71.9,69.0,65.2,61.9,59.6,68.8,69.0,66.1
" "," ","Hungary",55.7,52.3,55.6,58.1,58.8,60.5,64.4,65.6,71.8,78.0,80.0,80.3,78.2,77.2,76.5,75.8,74.9,72.1,69.1,65.3,79.3,76.7,73.9
" "," ","Austria",66.1,66.7,66.7,65.9,65.2,68.6,67.3,65.0,68.7,79.9,82.7,82.4,81.9,81.3,84.0,84.9,82.8,78.5,74.1,70.6,83.0,82.5,78.4
" "," ","Euro area-20",69.0,68.0,68.0,69.3,69.6,70.3,68.3,65.9,69.6,80.1,85.6,87.5,91.0,93.0,93.2,91.3,90.4,88.1,86.1,84.1,97.2,94.7,90.9

