"Government deficit and debt in the EU-countries by unit, function,"
"country and time"

" "," "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Mill. Euro (current prices)"
" ","Government EMU-surplus(+)/EMU-deficit(-)"
" "," ","Romania",-1865.3,-1559.5,-941.8,-728.7,-656.2,-640.5,-2078.7,-3526.3,-7942.1,-11933.2,-9106.0,-7706.2,-5352.5,-3258.0,-1795.5,-866.6,-4263.9,-4726.9,-5808.9,-9688.4,-20411.8,-17295.1,-17889.5
" "," ","Slovakia",-2828.0,-1726.4,-2165.4,-939.8,-805.1,-1132.6,-1631.9,-1155.2,-1667.9,-5223.4,-5138.7,-3089.3,-3205.1,-2143.8,-2370.1,-2135.4,-2092.1,-829.5,-908.6,-1140.1,-4999.4,-5194.7,-2215.6
" "," ","Slovenia",-797.0,-1034.7,-592.9,-681.0,-537.5,-385.6,-387.5,-17.2,-528.6,-2107.5,-2036.3,-2456.7,-1448.2,-5314.5,-2072.6,-1106.3,-776.2,-22.8,341.1,347.6,-3597.2,-2413.6,-1717.2
" "," ","Spain",-7520.0,-3189.0,-2374.0,-3009.0,-941.0,11421.0,21322.0,20287.0,-50731.0,-120576.0,-102193.0,-103606.0,-119100.0,-76838.0,-63097.0,-57235.0,-47893.0,-36228.0,-31224.0,-38116.0,-113199.0,-82262.0,-63736.0
" "," ","Sweden",8925.7,3787.1,-4015.3,-3624.6,602.5,5666.1,7021.1,11791.7,6734.2,-2712.1,-433.4,-1500.5,-4908.7,-6587.1,-6817.2,-74.8,4562.2,6644.2,3542.7,2564.1,-13475.0,78.6,6225.2
" "," ","Czech Republic",-2396.8,-4360.3,-5548.4,-6080.3,-2287.9,-3339.0,-2678.7,-896.3,-3183.3,-8094.6,-6556.9,-4461.0,-6336.2,-2047.3,-3275.6,-1091.6,1263.0,2914.7,1882.9,650.9,-12444.4,-12115.0,-8871.3
" "," ","Germany",-33422.0,-65729.0,-85177.0,-81921.0,-75436.0,-75959.0,-39429.0,6521.0,-2963.0,-77053.0,-112286.0,-23741.0,256.0,1124.0,16966.0,29068.0,36374.0,43652.0,65623.0,53024.0,-147698.0,-129741.0,-96910.0
" "," ","Hungary",-1558.4,-2400.2,-6312.9,-5418.0,-5528.4,-7085.8,-8530.7,-5205.7,-4098.3,-4493.5,-4416.8,-5323.5,-2330.1,-2655.7,-2948.7,-2260.3,-2088.9,-3123.7,-2798.1,-2999.5,-10422.4,-11018.3,-10544.7
" "," ","Austria",-5136.6,-1458.9,-3131.6,-4142.0,-11644.8,-6373.1,-6790.6,-3846.8,-4392.5,-15351.9,-13141.6,-7919.3,-6975.5,-6316.5,-9092.0,-3477.1,-5487.8,-3014.4,655.5,2254.0,-30437.2,-23458.7,-15839.8
" "," ","Euro area-20",-91364.9,-144915.5,-203953.8,-242987.4,-235428.1,-220347.1,-135718.7,-61620.9,-209008.8,-581988.4,-601745.5,-419508.5,-376628.0,-307763.3,-255418.8,-210664.0,-159389.7,-104209.4,-49835.3,-77086.1,-812258.9,-650703.9,-486457.2
" ","Government EMU-debt"
" "," ","Belgium",280959.5,286055.5,288110.8,285866.7,288418.8,294975.3,297494.9,300063.7,327683.2,347223.7,364132.1,389106.6,404752.3,414432.4,431384.3,438504.8,451619.9,454048.4,459388.5,467249.4,515211.9,548456.4,578063.2
" "," ","Bulgaria",10177.1,10269.8,8890.3,8126.5,7526.2,6388.6,5721.0,5296.9,4848.6,5112.5,5857.0,6285.0,7005.7,7147.6,11619.3,11871.6,14188.1,13182.6,12427.2,12311.1,15131.7,17013.2,19352.9
" "," ","Cyprus",6024.5,6660.9,7339.8,8184.8,9055.9,9595.9,9597.7,9461.9,8658.6,10139.0,10953.7,13057.9,15618.5,18706.5,19013.8,19296.8,19631.5,18935.6,21343.9,21565.9,25388.1,24744.7,23767.3
" "," ","Denmark",93084.0,89464.7,93174.5,89061.4,89394.7,79532.5,71183.3,63755.0,80547.5,92986.6,103472.9,114452.4,114025.7,113943.4,117801.4,108532.4,105450.1,105727.0,102597.3,104187.6,131859.7,123539.1,113586.0
" "," ","Estonia",315.6,333.4,442.9,489.7,499.9,533.1,628.1,617.5,749.4,1023.1,981.9,1027.4,1762.5,1934.2,2129.9,2077.4,2174.1,2174.0,2127.4,2373.4,5094.4,5533.5,6657.4
" "," ","Finland",61564.0,62825.0,63299.0,68508.0,71335.0,69397.0,69532.0,67340.0,67435.0,80200.0,94286.0,102829.0,115931.0,123726.0,133359.1,144443.0,147963.0,149457.0,151384.0,155613.0,177906.0,181944.0,196878.0
" "," ","France",870626.0,897446.0,956794.0,1050356.0,1123615.0,1189919.0,1194106.0,1252867.0,1370326.0,1607983.0,1701122.0,1807957.0,1892540.0,1977734.0,2039884.0,2101255.0,2188481.0,2254331.0,2310877.0,2374942.0,2657352.0,2823692.0,2949331.0
" "," ","Greece",148217.0,162971.0,171410.0,181510.0,199282.0,213976.0,225730.0,239915.0,264775.0,301062.0,330570.0,356235.0,305085.0,320498.0,319629.0,311729.0,315012.0,317481.0,334721.0,331144.0,341588.0,353848.0,356597.0
" "," ","Ireland",39494.0,40969.2,41987.4,43409.3,43888.9,44371.3,43723.8,47183.1,79621.0,104685.4,144229.6,189726.7,210026.1,215241.6,203381.6,201673.9,200635.0,201262.0,205847.5,203382.8,217884.8,236127.2,224760.6
